release_date,rank,pic_id,pic_unique_show,perc,is_show,picture_url,,,,,,,,,,,,,,,,,,,
2022-01-01,12,636e27c2a7d40d730afb8e4b,164252,13.65%,1,https://jigsaw-cdn.dailyinnovation.biz/8c4776ea61296c92f25701d88364f67a.jpeg,,,,,,,,,,,,,,,,,,,
2022-01-01,12,61a4442185bcd1c083293fec,47097,15.85%,1,https://jigsaw-cdn.dailyinnovation.biz/shutterstock_1630863958.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,11,61b1d1e384caec0d15ba34b4,48823,21.46%,1,https://jigsaw-cdn.dailyinnovation.biz/Depositphotos_36467983_XL.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,11,61dfcf9a6de5ebac1234ed63,32533,7.97%,1,https://jigsaw-cdn.dailyinnovation.biz/20452f553022bbe9572c74f653e459c3.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,10,61c190ac48d1967c9e538187,44187,14.38%,1,https://jigsaw-cdn.dailyinnovation.biz/shutterstock_221618728.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,9,61c18f8648d1967c9e538163,55482,18.49%,1,https://jigsaw-cdn.dailyinnovation.biz/lynda-hinton-RpWCPDxMcSo-unsplash.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,8,61c190a848d1967c9e538183,49568,16.61%,1,https://jigsaw-cdn.dailyinnovation.biz/karsten-winegeart-u1B3DuwU4dA-unsplash.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,7,61937a456ac28a0ab9b2ec1a,29428,12.11%,1,https://jigsaw-cdn.dailyinnovation.biz/2e4fa1b701d27b812ae9d192135dd49c.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,6,635284e0a3145f1256fc809c,55387,17.34%,1,https://jigsaw-cdn.dailyinnovation.biz/74b97b8d4c2e72e62ab0b833b47ade93.jpeg,,,,,,,,,,,,,,,,,,,
2022-01-01,5,61c2f651ed9188e5e70ed52e,39072,12.24%,1,https://jigsaw-cdn.dailyinnovation.biz/mariya-pdEQUo2r5zQ-unsplash.jpg,,,,,,,,,,,,,,,,,,,
2022-01-01,5,6332cf29df60b1b10e0f5999,54489,25.71%,1,https://jigsaw-cdn.dailyinnovation.biz/5a49aeb901c920cd26ea636960d67f41.jpeg,,,,,,,,,,,,,,,,,,,
